id	code	country	Indicator	edits	gdpedits	population	editspopulation	citations	fsize	links
694	SLE	sierra leone	4136280752.03693	5096	811672.04710	6092075	0.00083649659598741	610	3195183	7907
598	PNG	papua new guinea	15413232345.734	6155	2504180.722	7321262	0.000840702053826239	387	3195466	8519
795	TKM	turkmenistan	41850877192.9825	4406	9498610.3479	5240072	0.000840828141292715	707	4104779	12388
188	CRI	costa rica	49621089476.1317	4170	11899541.8408	4872166	0.000855882168218406	273	2105051	5162
348	HUN	hungary	133423898611.949	8833	15105162.302	9893899	0.000892772404488867	1099	6609895	16810
430	LBR	liberia	1950960137.7301	4052	481480.7842	4294077	0.000943625370481247	365	1718839	3951
332	HTI	haiti	8459326659.75657	10053	841472.85982	10317461	0.000974367627849526	1113	5020928	12590
498	MDA	moldova	7969618965.90078	3643	2187652.74936	3558566	0.00102372697316841	644	2743879	7589
558	NIC	nicaragua	11255608410.0506	6252	1800321.2428	6080478	0.00102820863754461	723	3757972	9785
478	MRT	mauritania	4158182904.24541	4288	969725.49073	3889880	0.00110234763026109	494	2817073	7565
426	LSO	lesotho	2334989648.03313	2337	999139.77237	2074465	0.00112655552154411	83	1161694	3443
434	LBY	libya	74199528672.4273	7044	10533720.7087	6201521	0.001135850382511	1912	8030270	20645
512	OMN	oman	79655917417.1363	4172	19092981.1642	3632444	0.00114853800912003	244	2740041	7050
300	GRC	greece	242230333768.932	12812	18906519.963	11027549	0.00116181755347448	3233	12349644	35028
706	SOM	somalia		12297	0	10495583	0.00117163572523794	2758	11573292	30219
400	JOR	jordan	33678500148	7615	4422652.67866054	6460000	0.00117879256965944	914	5592938	15060
56	BEL	belgium	524805525215.191	13198	39764019.186	11182817	0.00118020352117002	1488	10269267	29189
417	KGZ	kyrgyzstan	7226303261.27573	6805	1061910.83928	5719600	0.00118976851528079	533	3545032	10445
703	SVK	slovakia	97707323420.0744	6581	14846880.9330	5413393	0.00121568857092031	567	4087803	11688
31	AZE	azerbaijan	73560484384.9586	11571	6357314.3536	9416801	0.0012287612321849	2002	9390161	24439
688	SRB	serbia	45519650911.4138	9442	4820975.5255	7164132	0.00131795449888416	1151	9300724	29834
440	LTU	lithuania	45931968473.664	3929	11690498.466	2957689	0.00132840200575517	505	2661259	8709
858	URY	uruguay	55707944621.9719	4669	11931450.9792	3407062	0.00137038891572857	454	3979898	10642
591	PAN	panama	42648100000	5603	7611654.4708192	3864170	0.00144998796636794	453	3567520	10326
756	CHE	switzerland	685434185074.108	11872	57735359.255	8087875	0.00146787629630774	900	7055535	23274
624	GNB	guinea-bissau	960778479.475346	2732	351675.870965	1704255	0.00160304649245565	286	1784413	5321
72	BWA	botswana	14784707345.2381	3346	4418621.4421	2021144	0.00165549807435789	139	1154682	2889
634	QAT	qatar	203235158977.963	3595	56532728.506	2168673	0.00165769574297278	325	2200454	5911
100	BGR	bulgaria	54479873099.8914	12208	4462637.0495	7265115	0.00168035881056253	1797	9396414	26534
40	AUT	austria	428321897648.215	15045	28469385.021	8479823	0.00177421156078376	1311	10892096	32445
748	SWZ	swaziland	3791304347.82609	2238	1694059.13665	1249514	0.00179109637827187	174	1305466	3510
752	SWE	sweden	579679985303.385	17823	32524265.573	9600379	0.00185648920735317	2004	10834574	30870
270	GMB	gambia	903497025.655483	3543	255009.039135	1849285	0.00191587559516245	363	2260222	6453
388	JAM	jamaica	14362262584.9078	5657	2538847.9026	2714734	0.00208381373644711	363	3393538	9123
414	KWT	kuwait	175830502497.796	7063	24894591.887	3368572	0.00209673416510023	837	5585031	12697
266	GAB	gabon	19343506598.656	3543	5459640.587	1671711	0.00211938546794272	185	2259207	6708
578	NOR	norway	512580425531.915	10882	47103512.730	5080166	0.00214205598793425	1151	7215017	20016
372	IRL	ireland	232077419239.968	10409	22295841.987	4597558	0.00226402799051148	1615	6484724	16329
705	SVN	slovenia	47987303637.812	4799	9999438.141	2059953	0.00232966480303191	587	3362613	9659
702	SGP	singapore	297941261088.468	12755	23358781.740	5399200	0.0023623870202993	1270	7965260	19928
554	NZL	new zealand	185787824483.114	10628	17480977.087	4442100	0.00239256207649535	1427	6201233	15155
246	FIN	finland	267328613728.338	13466	19852117.461	5438972	0.00247583550715098	656	5122395	13520
191	HRV	croatia	57868674297.5337	10591	5463948.0972	4255700	0.00248866226472731	1843	9363305	26635
208	DNK	denmark	335877548363.831	14604	22999010.433	5614932	0.00260092197020374	2063	11934319	37996
268	GEO	georgia	16140047012.1438	11737	1375142.4565	4487200	0.00261566232840078	1722	7851210	21567
840	USA	united states	16768100000000	26782	626095885.296094	9346129.0	0.00286557140394702	15304	52182114	151469
376	ISR	israel	290550599943.225	23414	12409267.957	8059500	0.00290514299894534	7951	25677910	65553
807	MKD	macedonia	10195404131.5000	6143	1659678.3545	2107158	0.00291530108326001			
626	TLS	east timor		3788	0	1180069	0.00320998178920046	287	1825108	4556
262	DJI	djibouti	1456344495.0231	2856	509924.5431	872932	0.00327173250608295	155	1819059	5571
174	COM	comoros	598925862.953067	2415	248002.427724	734917	0.00328608536746326	109	1375712	3984
422	LBN	lebanon	44352418120.4377	14701	3016966.0649	4467390	0.00329073575398611	2103	10491745	28502
480	MUS	mauritius	11929250814.3322	4159	2868297.8635	1258653	0.00330432613277845	224	2507536	7547
70	BIH	bosnia and herzegovina	17851326454.4159	13542	1318219.3512	3829307	0.00353641011284809	1276	9077454	26947
516	NAM	namibia	13113069776.5948	8297	1580459.1752	2303315	0.00360219943863518	704	4735890	11635
496	MNG	mongolia	11516409581.2988	10344	1113341.9936	2839073	0.00364344277163708	1667	8899314	27064
226	GNQ	equatorial guinea	15580563835.9242	2759	5647177.9036	757014	0.00364458253083827	167	1412177	3962
8	ALB	albania	12923240278.3416	11084	1165936.5101	2897366	0.00382554361444153	1535	8302985	23141
428	LVA	latvia	30956691627.5877	9198	3365589.4355	2012647	0.0045701009665381	794	5572986	17451
48	BHR	bahrain	32890110533.0908	6118	5375957.9165	1332171	0.00459250351493915	984	5534198	14791
780	TTO	trinidad and tobago	24640839007.5918	6361	3873736.6778	1341151	0.00474294095146631	216	3222597	9394
51	ARM	armenia	10432169571.25	14201	734608.10	2976566	0.00477093402262876	3008	13593125	39051
64	BTN	bhutan	1781261412.5445	4202	423907.9992	753947	0.00557333605677853	552	3132760	8245
242	FJI	fiji	3855017106.54936	5212	739642.57608	881065	0.00591556809089	343	2428571	6108
90	SLB	solomon islands	1096396926.91144	3620	302872.07926	561231	0.00645010699694065	286	2615725	7016
